fecha,hora_entrada,dir,tier,resultado,evento,raw
2025-01-02,5,short,B,veto,,05h ▼B –
2025-01-02,9,short,A,veto,,09h ▼A –
2025-01-06,5,long,B,win,,05h ▲B ✓
2025-01-07,5,long,B,loss,,05h ▲B ✕
2025-01-07,9,short,B,win,,09h ▼B ✓
2025-01-08,5,short,A,win,,05h ▼A ✓
2025-01-13,5,short,B,loss,,05h ▼B ✕
2025-01-15,5,long,A,win,CPI,05h ▲A ✓
2025-01-17,9,short,A,loss,,09h ▼A ✕
2025-01-21,5,short,B,loss,,05h ▼B ✕
2025-01-22,5,long,B,win,,05h ▲B ✓
2025-01-23,5,long,B,loss,,05h ▲B ✕
2025-01-27,5,long,A,win,,05h ▲A ✓
2025-01-29,5,short,A,win,FOMC,05h ▼A ✓
2025-01-30,5,short,B,loss,BCE,05h ▼B ✕
2025-01-30,9,long,A,loss,BCE,09h ▲A ✕
2025-01-30,13,short,Corr,win,BCE,13h ▼C ✓
2025-02-03,9,long,B,win,,09h ▲B ✓
2025-02-04,5,long,A,win,,05h ▲A ✓
2025-02-05,5,long,B,win,,05h ▲B ✓
2025-02-07,5,long,A,loss,NFP,05h ▲A ✕
2025-02-07,9,short,A,win,NFP,09h ▼A ✓
2025-02-07,9,short,Corr,win,NFP,09h ▼C ✓
2025-02-11,5,long,A,win,,05h ▲A ✓
2025-02-12,5,long,B,loss,CPI,05h ▲B ✕
2025-02-12,9,short,A,loss,CPI,09h ▼A ✕
2025-02-12,13,long,Corr,win,CPI,13h ▲C ✓
2025-02-13,9,short,A,loss,,09h ▼A ✕
2025-02-13,13,long,Corr,loss,,13h ▲C ✕
2025-02-17,5,short,B,win,,05h ▼B ✓
2025-02-18,9,short,B,loss,,09h ▼B ✕
2025-02-19,5,short,A,win,,05h ▼A ✓
2025-02-19,9,long,Corr,veto,,09h ▲C –
2025-02-25,9,long,B,win,,09h ▲B ✓
2025-02-26,9,short,B,loss,,09h ▼B ✕
2025-02-27,5,long,A,loss,,05h ▲A ✕
2025-02-27,9,short,B,win,,09h ▼B ✓
2025-02-27,9,short,Corr,win,,09h ▼C ✓
2025-03-03,5,long,A,win,,05h ▲A ✓
2025-03-04,5,long,B,win,,05h ▲B ✓
2025-03-05,5,long,A,win,,05h ▲A ✓
2025-03-06,9,long,B,loss,BCE,09h ▲B ✕
2025-03-11,5,long,B,veto,,05h ▲B –
2025-03-12,9,short,B,loss,CPI,09h ▼B ✕
2025-03-13,9,short,B,win,,09h ▼B ✓
2025-03-17,5,long,B,veto,,05h ▲B –
2025-03-18,5,long,A,loss,,05h ▲A ✕
2025-03-18,9,short,Corr,win,,09h ▼C ✓
2025-03-20,5,short,B,win,,05h ▼B ✓
2025-03-24,9,short,B,loss,,09h ▼B ✕
2025-03-25,9,long,B,loss,,09h ▲B ✕
2025-03-26,5,long,B,loss,,05h ▲B ✕
2025-03-26,9,short,A,win,,09h ▼A ✓
2025-03-28,9,long,A,veto,,09h ▲A –
2025-03-31,9,short,A,win,,09h ▼A ✓
2025-03-31,13,long,Corr,veto,,13h ▲C –
2025-04-01,9,short,A,win,,09h ▼A ✓
2025-04-01,13,long,Corr,veto,,13h ▲C –
2025-04-04,5,short,A,win,NFP,05h ▼A ✓
2025-04-04,9,long,Corr,veto,NFP,09h ▲C –
2025-04-08,5,short,A,win,,05h ▼A ✓
2025-04-08,9,long,Corr,veto,,09h ▲C –
2025-04-09,9,long,B,loss,,09h ▲B ✕
2025-04-10,5,long,B,win,CPI,05h ▲B ✓
2025-04-14,9,short,B,win,,09h ▼B ✓
2025-04-15,9,short,A,win,,09h ▼A ✓
2025-04-17,5,long,B,loss,BCE,05h ▲B ✕
2025-04-17,9,short,B,loss,BCE,09h ▼B ✕
2025-04-18,9,long,A,win,,09h ▲A ✓
2025-04-22,9,short,A,win,,09h ▼A ✓
2025-04-24,5,long,B,win,,05h ▲B ✓
2025-04-28,5,short,B,loss,,05h ▼B ✕
2025-04-29,9,long,B,loss,,09h ▲B ✕
2025-05-05,9,long,B,loss,,09h ▲B ✕
2025-05-06,1,long,A,win,,01h ▲A ✓
2025-05-08,5,short,A,win,,05h ▼A ✓
2025-05-08,9,long,Corr,veto,,09h ▲C –
2025-05-12,5,short,A,win,,05h ▼A ✓
2025-05-13,9,long,B,win,CPI,09h ▲B ✓
2025-05-14,5,long,B,loss,,05h ▲B ✕
2025-05-19,5,long,B,win,,05h ▲B ✓
2025-05-20,9,short,A,loss,,09h ▼A ✕
2025-05-20,13,long,Corr,win,,13h ▲C ✓
2025-05-22,5,short,B,win,,05h ▼B ✓
2025-05-26,5,short,A,win,,05h ▼A ✓
2025-05-27,1,short,A,win,,01h ▼A ✓
2025-05-29,9,long,B,win,,09h ▲B ✓
2025-06-02,5,long,B,win,,05h ▲B ✓
2025-06-03,5,short,B,win,,05h ▼B ✓
2025-06-04,1,short,A,loss,,01h ▼A ✕
2025-06-04,5,long,A,win,,05h ▲A ✓
2025-06-04,5,long,Corr,win,,05h ▲C ✓
2025-06-05,1,short,A,loss,BCE,01h ▼A ✕
2025-06-05,5,long,Corr,win,BCE,05h ▲C ✓
2025-06-09,5,long,B,veto,,05h ▲B –
2025-06-09,9,short,A,loss,,09h ▼A ✕
2025-06-09,13,long,Corr,loss,,13h ▲C ✕
2025-06-10,9,long,A,loss,,09h ▲A ✕
2025-06-10,13,short,Corr,win,,13h ▼C ✓
2025-06-11,5,long,B,loss,CPI,05h ▲B ✕
2025-06-12,5,long,B,win,,05h ▲B ✓
2025-06-23,5,short,B,win,,05h ▼B ✓
2025-06-24,5,short,B,loss,,05h ▼B ✕
2025-06-25,9,short,A,loss,,09h ▼A ✕
2025-06-25,13,long,Corr,win,,13h ▲C ✓
2025-06-26,5,long,B,win,,05h ▲B ✓
2025-06-30,9,short,B,loss,,09h ▼B ✕
2025-07-01,5,long,B,loss,,05h ▲B ✕
2025-07-02,5,short,B,win,,05h ▼B ✓
2025-07-03,9,short,B,veto,NFP,09h ▼B –
2025-07-08,9,short,B,win,,09h ▼B ✓
2025-07-10,9,short,B,win,,09h ▼B ✓
2025-07-16,9,short,A,veto,,09h ▼A –
2025-07-16,13,long,Corr,veto,,13h ▲C –
2025-07-21,5,long,B,win,,05h ▲B ✓
2025-07-22,5,long,B,loss,,05h ▲B ✕
2025-07-24,5,short,A,win,BCE,05h ▼A ✓
2025-07-28,5,short,B,win,,05h ▼B ✓
2025-07-29,9,short,B,win,,09h ▼B ✓
2025-07-30,9,short,A,win,FOMC,09h ▼A ✓
2025-07-30,13,long,Corr,veto,FOMC,13h ▲C –
2025-07-31,9,short,A,win,,09h ▼A ✓
2025-08-01,5,short,A,veto,NFP,05h ▼A –
2025-08-01,9,long,Corr,veto,NFP,09h ▲C –
2025-08-04,9,long,B,loss,,09h ▲B ✕
2025-08-05,5,short,B,loss,,05h ▼B ✕
2025-08-06,9,long,A,win,,09h ▲A ✓
2025-08-07,9,short,B,win,,09h ▼B ✓
2025-08-11,9,short,A,win,,09h ▼A ✓
2025-08-12,5,short,B,loss,CPI,05h ▼B ✕
2025-08-12,9,long,A,win,CPI,09h ▲A ✓
2025-08-14,5,short,B,win,,05h ▼B ✓
2025-08-18,5,short,B,win,,05h ▼B ✓
2025-08-19,5,long,B,win,,05h ▲B ✓
2025-08-20,9,long,B,loss,,09h ▲B ✕
2025-08-21,5,long,B,loss,,05h ▲B ✕
2025-08-26,9,long,B,loss,,09h ▲B ✕
2025-08-28,9,long,B,win,,09h ▲B ✓
2025-09-01,9,short,A,win,,09h ▼A ✓
2025-09-03,5,long,A,win,,05h ▲A ✓
2025-09-03,9,short,Corr,veto,,09h ▼C –
2025-09-09,9,short,A,win,,09h ▼A ✓
2025-09-10,1,long,A,loss,,01h ▲A ✕
2025-09-10,5,short,Corr,loss,,05h ▼C ✕
2025-09-11,9,long,A,veto,CPI·BCE,09h ▲A –
2025-09-15,9,long,B,win,,09h ▲B ✓
2025-09-18,5,long,B,loss,,05h ▲B ✕
2025-09-22,5,long,B,win,,05h ▲B ✓
2025-09-25,9,short,A,win,,09h ▼A ✓
2025-09-29,9,long,B,loss,,09h ▲B ✕
2025-09-30,5,long,B,win,,05h ▲B ✓
2025-10-06,5,short,B,win,,05h ▼B ✓
2025-10-08,9,long,B,loss,,09h ▲B ✕
2025-10-09,5,short,A,win,,05h ▼A ✓
2025-10-09,9,long,Corr,veto,,09h ▲C –
2025-10-13,5,short,B,win,,05h ▼B ✓
2025-10-14,5,short,A,win,,05h ▼A ✓
2025-10-15,9,short,B,loss,,09h ▼B ✕
2025-10-17,9,short,A,win,,09h ▼A ✓
2025-10-20,9,short,B,win,,09h ▼B ✓
2025-10-21,5,short,B,win,,05h ▼B ✓
2025-10-22,5,short,A,win,,05h ▼A ✓
2025-10-24,9,long,A,win,CPI,09h ▲A ✓
2025-10-24,13,short,Corr,veto,CPI,13h ▼C –
2025-10-28,9,short,A,loss,,09h ▼A ✕
2025-10-28,13,long,Corr,veto,,13h ▲C –
2025-10-30,9,short,B,win,BCE,09h ▼B ✓
2025-11-03,5,short,A,win,,05h ▼A ✓
2025-11-04,5,short,B,win,,05h ▼B ✓
2025-11-05,9,short,B,loss,,09h ▼B ✕
2025-11-07,9,long,A,win,,09h ▲A ✓
2025-11-11,9,long,B,loss,,09h ▲B ✕
2025-11-13,5,long,B,win,,05h ▲B ✓
2025-11-14,5,short,A,loss,,05h ▼A ✕
2025-11-14,9,long,Corr,loss,,09h ▲C ✕
2025-11-17,9,short,B,win,,09h ▼B ✓
2025-11-18,5,short,B,loss,,05h ▼B ✕
2025-11-19,5,short,B,win,,05h ▼B ✓
2025-11-20,5,long,A,veto,NFP,05h ▲A –
2025-11-24,5,long,B,win,,05h ▲B ✓
2025-11-25,1,short,A,veto,,01h ▼A –
2025-11-25,5,long,A,win,,05h ▲A ✓
2025-11-25,5,long,Corr,veto,,05h ▲C –
2025-11-26,5,short,A,win,,05h ▼A ✓
2025-11-27,5,short,A,win,,05h ▼A ✓
2025-11-27,9,long,Corr,veto,,09h ▲C –
2025-12-01,5,long,A,win,,05h ▲A ✓
2025-12-04,5,long,A,loss,,05h ▲A ✕
2025-12-04,9,short,Corr,win,,09h ▼C ✓
2025-12-08,5,short,A,win,,05h ▼A ✓
2025-12-09,9,short,B,win,,09h ▼B ✓
2025-12-10,1,long,A,win,FOMC,01h ▲A ✓
2025-12-11,5,long,B,win,,05h ▲B ✓
2025-12-11,9,long,A,win,,09h ▲A ✓
2025-12-15,5,long,B,win,,05h ▲B ✓
2025-12-16,9,long,B,win,NFP,09h ▲B ✓
2025-12-17,5,short,B,veto,,05h ▼B –
2025-12-17,9,long,A,win,,09h ▲A ✓
2025-12-18,5,short,A,loss,CPI·BCE,05h ▼A ✕
2025-12-18,9,long,B,loss,CPI·BCE,09h ▲B ✕
2025-12-18,9,long,Corr,loss,CPI·BCE,09h ▲C ✕
2025-12-23,9,short,B,win,,09h ▼B ✓
2025-12-24,9,short,A,win,,09h ▼A ✓
2025-12-26,5,short,A,veto,,05h ▼A –
2025-12-26,9,long,A,loss,,09h ▲A ✕
2025-12-26,9,long,Corr,loss,,09h ▲C ✕
2025-12-26,13,short,Corr,win,,13h ▼C ✓
2025-12-30,5,short,B,win,,05h ▼B ✓
