trading_date,session,block_high,block_high_first,block_low,block_low_first,block_open,block_close,block_range_pips,block_return_pips,daily_range_pips,contribution_pct,day_of_week,day_name,ny_range_pips,ny_return_pips,daily_close,daily_open,is_trending,asia_high,london_high,week,year,week_key,weekly_cumulative_return,daily_return_pips,weekly_direction
2000-05-30,NY,0.9338,0.9296,0.9269,0.9294,0.9294,0.9279,24.00000000000069,-15.000000000000568,76.99999999999929,31.16883116883235,1,Tuesday,69.00000000000017,-15.000000000000568,0.9304,0.9302,False,False,False,22,2000,2000-W22,1.99999999999978,1.99999999999978,UP
2000-05-31,NY,0.9336,0.9332,0.93,0.9332,0.9332,0.9318,12.999999999999678,-14.00000000000068,80.99999999999996,16.049382716048992,2,Wednesday,35.99999999999937,-14.000000000000679,0.9315,0.9379,True,False,False,22,2000,2000-W22,-61.99999999999984,-63.999999999999616,DOWN
2000-06-01,NY,0.9498,0.9359,0.9339,0.9359,0.9359,0.9445,24.999999999999467,86.00000000000053,24.999999999999467,100.0,3,Thursday,159.00000000000026,86.00000000000053,0.944,0.9316,True,False,True,22,2000,2000-W22,61.99999999999982,123.99999999999966,UP
2000-06-04,NY,0.9461,0.9436,0.9416,0.9435,0.9435,0.9461,7.000000000000339,26.00000000000047,14.999999999999458,46.666666666670615,6,,45.0000000000006,26.00000000000047,0.9483,0.9461,True,True,False,22,2000,2000-W22,83.99999999999963,21.9999999999998,UP
2000-06-05,NY,0.9603,0.9478,0.9476,0.9478,0.9478,0.96,15.000000000000568,121.99999999999989,15.000000000000568,100.0,0,Monday,127.00000000000044,121.99999999999989,0.9549,0.9481,True,False,False,23,2000,2000-W23,67.99999999999918,67.99999999999918,UP
2000-06-06,NY,0.9606,0.9566,0.9538,0.9565,0.9566,0.9572,10.9999999999999,6.000000000000449,35.00000000000058,31.428571428570617,1,Tuesday,68.00000000000028,6.000000000000449,0.962,0.9547,True,False,True,23,2000,2000-W23,140.99999999999892,72.99999999999973,UP
2000-06-07,NY,0.9704,0.9674,0.9513,0.9669,0.9669,0.9535,21.9999999999998,-133.9999999999997,24.00000000000069,91.6666666666632,2,Wednesday,191.00000000000006,-133.9999999999997,0.9563,0.9622,True,False,False,23,2000,2000-W23,81.99999999999875,-59.00000000000016,UP
2000-06-08,NY,0.9535,0.9516,0.9463,0.9516,0.9516,0.9517,16.00000000000046,0.99999999999989,16.00000000000046,100.0,3,Thursday,71.99999999999984,0.9999999999998899,0.9523,0.9563,True,False,False,23,2000,2000-W23,41.99999999999871,-40.00000000000004,UP
2000-06-11,NY,0.9554,0.9528,0.9524,0.9528,0.9528,0.954,7.000000000000339,11.999999999999789,10.000000000000009,70.00000000000333,6,,30.00000000000003,11.999999999999789,0.9542,0.9535,True,True,False,23,2000,2000-W23,58.999999999999055,7.000000000000339,UP
2000-06-12,NY,0.9628,0.9585,0.9577,0.9584,0.9585,0.9606,10.9999999999999,20.999999999999908,16.00000000000046,68.7499999999974,0,Monday,50.999999999999936,20.999999999999908,0.9599,0.954,True,False,True,24,2000,2000-W24,59.00000000000016,59.00000000000016,UP
2000-06-13,NY,0.9651,0.9641,0.9577,0.9641,0.9641,0.9597,14.00000000000068,-43.9999999999996,14.00000000000068,100.0,1,Tuesday,73.99999999999962,-43.999999999999595,0.958,0.9597,True,False,False,24,2000,2000-W24,41.999999999999815,-17.000000000000348,UP
2000-06-14,NY,0.9555,0.9524,0.952,0.952,0.9524,0.9525,5.999999999999339,0.99999999999989,10.000000000000009,59.999999999993335,2,Wednesday,35.00000000000058,0.9999999999998899,0.9548,0.9577,True,False,False,24,2000,2000-W24,12.999999999999684,-29.00000000000013,UP
2000-06-15,NY,0.9623,0.9569,0.9563,0.9564,0.9564,0.9611,9.000000000000119,46.99999999999926,11.999999999999789,75.0000000000023,3,Thursday,60.00000000000006,46.99999999999926,0.9649,0.9547,True,False,False,24,2000,2000-W24,114.99999999999957,101.99999999999989,UP
2000-06-18,NY,0.9644,0.9643,0.9589,0.9643,0.9643,0.9604,10.9999999999999,-39.00000000000014,10.9999999999999,100.0,6,,55.000000000000604,-39.00000000000014,0.9569,0.9647,True,False,False,24,2000,2000-W24,36.99999999999929,-78.00000000000028,UP
2000-06-19,NY,0.9575,0.9543,0.9532,0.9542,0.9543,0.9561,8.00000000000023,17.999999999999126,11.999999999999789,66.66666666666976,0,Monday,42.9999999999997,17.999999999999126,0.955,0.957,True,False,True,25,2000,2000-W25,-20.000000000000018,-20.000000000000018,DOWN
2000-06-20,NY,0.9476,0.9476,0.9453,0.9476,0.9476,0.9464,6.000000000000449,-11.999999999999789,14.00000000000068,42.85714285714399,1,Tuesday,22.999999999999687,-11.999999999999789,0.9445,0.9549,True,False,False,25,2000,2000-W25,-123.99999999999966,-103.99999999999964,DOWN
