week_key,high_day,high_dow,high_day_name,low_day,low_dow,low_day_name,weekly_range_pips,high_first,low_first,same_day,year,weekly_return,bullish
2000-W22,2000-06-01,3,Thursday,2000-05-30,1,Tuesday,346.99999999999955,False,True,False,2000,181.00000000000006,True
2000-W23,2000-06-07,2,Wednesday,2000-06-05,0,Monday,248.00000000000045,False,True,False,2000,60.99999999999994,True
2000-W24,2000-06-18,6,Sunday,2000-06-14,2,Wednesday,190.00000000000017,False,True,False,2000,29.000000000000135,True
2000-W25,2000-06-19,0,Monday,2000-06-25,6,Sunday,318.0000000000005,True,False,False,2000,-199.99999999999906,False
2000-W26,2000-06-29,3,Thursday,2000-06-26,0,Monday,237.00000000000054,False,True,False,2000,151.00000000000003,True
2000-W27,2000-07-05,2,Wednesday,2000-07-06,3,Thursday,139.00000000000023,True,False,False,2000,48.00000000000026,True
2000-W28,2000-07-10,0,Monday,2000-07-13,3,Thursday,251.0000000000001,True,False,False,2000,-182.99999999999983,False
2000-W29,2000-07-20,3,Thursday,2000-07-18,1,Tuesday,191.00000000000006,False,True,False,2000,-32.00000000000092,False
2000-W30,2000-07-25,1,Tuesday,2000-07-30,6,Sunday,225.99999999999955,True,False,False,2000,-66.99999999999929,False
2000-W31,2000-07-31,0,Monday,2000-08-02,2,Wednesday,295.9999999999996,True,False,False,2000,-195.99999999999952,False
2000-W32,2000-08-10,3,Thursday,2000-08-08,1,Tuesday,180.00000000000017,False,True,False,2000,-10.999999999999899,False
2000-W33,2000-08-17,3,Thursday,2000-08-20,6,Sunday,171.00000000000003,True,False,False,2000,-43.999999999999595,False
2000-W34,2000-08-24,3,Thursday,2000-08-22,1,Tuesday,162.9999999999998,False,True,False,2000,-13.999999999999568,False
2000-W35,2000-09-03,6,Sunday,2000-08-30,2,Wednesday,199.00000000000028,False,True,False,2000,-7.000000000000339,False
2000-W36,2000-09-04,0,Monday,2000-09-10,6,Sunday,423.00000000000006,True,False,False,2000,-407.9999999999995,False
2000-W37,2000-09-13,2,Wednesday,2000-09-17,6,Sunday,209.00000000000028,True,False,False,2000,-34.000000000000696,False
2000-W38,2000-09-21,3,Thursday,2000-09-19,1,Tuesday,506.99999999999966,False,True,False,2000,214.99999999999963,True
2000-W39,2000-09-26,1,Tuesday,2000-09-25,0,Monday,154.99999999999957,False,True,False,2000,19.000000000000128,True
2000-W40,2000-10-02,0,Monday,2000-10-05,3,Thursday,119.00000000000021,True,False,False,2000,-81.99999999999986,False
2000-W41,2000-10-10,1,Tuesday,2000-10-15,6,Sunday,302.00000000000006,True,False,False,2000,-181.00000000000006,False
2000-W42,2000-10-17,1,Tuesday,2000-10-17,1,Tuesday,252.0,False,False,True,2000,-133.9999999999997,False
2000-W43,2000-10-29,6,Sunday,2000-10-25,2,Wednesday,301.00000000000017,False,True,False,2000,46.99999999999926,True
2000-W44,2000-11-02,3,Thursday,2000-10-30,0,Monday,382.0000000000001,False,True,False,2000,211.00000000000009,True
2000-W45,2000-11-09,3,Thursday,2000-11-08,2,Wednesday,187.0000000000005,False,True,False,2000,-49.000000000000156,False
2000-W46,2000-11-14,1,Tuesday,2000-11-19,6,Sunday,168.99999999999915,True,False,False,2000,-60.99999999999994,False
2000-W47,2000-11-20,0,Monday,2000-11-23,3,Thursday,159.00000000000026,True,False,False,2000,15.000000000000568,True
2000-W48,2000-12-03,6,Sunday,2000-11-27,0,Monday,426.9999999999996,False,True,False,2000,352.0000000000001,True
2000-W49,2000-12-06,2,Wednesday,2000-12-10,6,Sunday,224.99999999999966,True,False,False,2000,-100.99999999999997,False
2000-W50,2000-12-17,6,Sunday,2000-12-12,1,Tuesday,300.0000000000003,False,True,False,2000,180.00000000000017,True
2000-W51,2000-12-21,3,Thursday,2000-12-18,0,Monday,377.0000000000007,False,True,False,2000,276.0000000000007,True
2000-W52,2000-12-28,3,Thursday,2000-12-27,2,Wednesday,141.99999999999991,False,True,False,2000,77.0000000000004,True
2001-W01,2001-01-04,3,Thursday,2001-01-03,2,Wednesday,330.0000000000003,False,True,False,2001,2.00000000000089,True
2001-W02,2001-01-08,0,Monday,2001-01-09,1,Tuesday,114.99999999999955,True,False,False,2001,-71.00000000000107,False
2001-W04,2001-01-22,0,Monday,2001-01-24,2,Wednesday,334.00000000000097,True,False,False,2001,-218.9999999999992,False
2001-W05,2001-01-31,2,Wednesday,2001-01-29,0,Monday,300.0000000000003,False,True,False,2001,205.99999999999952,True
2001-W06,2001-02-05,0,Monday,2001-02-08,3,Thursday,253.99999999999977,True,False,False,2001,-63.999999999999616,False
2001-W07,2001-02-12,0,Monday,2001-02-14,2,Wednesday,302.99999999999994,True,False,False,2001,-97.00000000000043,False
2001-W08,2001-02-19,0,Monday,2001-02-21,2,Wednesday,223.99999999999974,True,False,False,2001,-112.99999999999977,False
2001-W09,2001-03-01,3,Thursday,2001-02-26,0,Monday,298.0000000000005,False,True,False,2001,183.99999999999972,True
2001-W10,2001-03-08,3,Thursday,2001-03-05,0,Monday,121.99999999999989,False,True,False,2001,-6.999999999999229,False
2001-W11,2001-03-12,0,Monday,2001-03-15,3,Thursday,388.00000000000057,True,False,False,2001,-291.00000000000017,False
2001-W12,2001-03-20,1,Tuesday,2001-03-21,2,Wednesday,299.0000000000004,True,False,False,2001,-27.000000000000355,False
2001-W13,2001-03-26,0,Monday,2001-04-01,6,Sunday,247.99999999999932,True,False,False,2001,-162.9999999999998,False
2001-W14,2001-04-04,2,Wednesday,2001-04-02,0,Monday,298.0000000000005,False,True,False,2001,171.99999999999994,True
2001-W15,2001-04-09,0,Monday,2001-04-10,1,Tuesday,181.00000000000006,True,False,False,2001,-81.99999999999986,False
2001-W16,2001-04-22,6,Sunday,2001-04-17,1,Tuesday,363.9999999999999,False,True,False,2001,91.99999999999986,True
2001-W17,2001-04-26,3,Thursday,2001-04-29,6,Sunday,204.00000000000085,True,False,False,2001,-108.00000000000031,False
2001-W18,2001-05-03,3,Thursday,2001-04-30,0,Monday,151.99999999999991,False,True,False,2001,37.00000000000037,True
2001-W19,2001-05-09,2,Wednesday,2001-05-13,6,Sunday,203.99999999999974,True,False,False,2001,-165.0000000000007,False
2001-W20,2001-05-16,2,Wednesday,2001-05-14,0,Monday,142.9999999999998,False,True,False,2001,30.999999999999915,True
2001-W21,2001-05-21,0,Monday,2001-05-23,2,Wednesday,279.00000000000034,True,False,False,2001,-183.99999999999972,False
2001-W22,2001-05-28,0,Monday,2001-05-31,3,Thursday,180.00000000000017,True,False,False,2001,-133.9999999999997,False
2001-W23,2001-06-05,1,Tuesday,2001-06-10,6,Sunday,155.99999999999946,True,False,False,2001,-30.999999999999915,False
2001-W24,2001-06-14,3,Thursday,2001-06-11,0,Monday,258.00000000000045,False,True,False,2001,178.99999999999915,True
2001-W25,2001-06-24,6,Sunday,2001-06-19,1,Tuesday,129.00000000000023,False,True,False,2001,-13.999999999999568,False
2001-W26,2001-06-26,1,Tuesday,2001-06-27,2,Wednesday,227.99999999999932,True,False,False,2001,-126.00000000000055,False
2001-W27,2001-07-08,6,Sunday,2001-07-05,3,Thursday,162.9999999999998,False,True,False,2001,40.000000000000036,True
2001-W28,2001-07-10,1,Tuesday,2001-07-09,0,Monday,151.99999999999991,False,True,False,2001,20.999999999999908,True
2001-W29,2001-07-19,3,Thursday,2001-07-16,0,Monday,293.99999999999983,False,True,False,2001,159.00000000000026,True
2001-W30,2001-07-25,2,Wednesday,2001-07-23,0,Monday,135.00000000000068,False,True,False,2001,55.000000000000604,True
2001-W31,2001-08-02,3,Thursday,2001-07-30,0,Monday,147.99999999999923,False,True,False,2001,72.99999999999973,True
2001-W32,2001-08-12,6,Sunday,2001-08-07,1,Tuesday,266.0000000000007,False,True,False,2001,144.99999999999957,True
2001-W33,2001-08-19,6,Sunday,2001-08-13,0,Monday,263.9999999999998,False,True,False,2001,179.99999999999906,True
2001-W34,2001-08-21,1,Tuesday,2001-08-23,3,Thursday,163.99999999999972,True,False,False,2001,-31.999999999999808,False
2001-W35,2001-08-30,3,Thursday,2001-08-27,0,Monday,169.00000000000026,False,True,False,2001,-37.99999999999915,False
2001-W36,2001-09-09,6,Sunday,2001-09-05,2,Wednesday,252.0,False,True,False,2001,-88.0000000000003,False
2001-W37,2001-09-16,6,Sunday,2001-09-10,0,Monday,377.99999999999943,False,True,False,2001,258.00000000000045,True
2001-W38,2001-09-18,1,Tuesday,2001-09-20,3,Thursday,237.99999999999932,True,False,False,2001,-70.99999999999996,False
2001-W39,2001-09-24,0,Monday,2001-09-30,6,Sunday,186.0000000000006,True,False,False,2001,5.999999999999339,True
2001-W40,2001-10-07,6,Sunday,2001-10-02,1,Tuesday,118.00000000000033,False,True,False,2001,36.000000000000476,True
2001-W41,2001-10-08,0,Monday,2001-10-14,6,Sunday,161.00000000000003,True,False,False,2001,-122.99999999999977,False
2001-W42,2001-10-15,0,Monday,2001-10-21,6,Sunday,216.9999999999994,True,False,False,2001,-167.00000000000048,False
2001-W43,2001-10-28,6,Sunday,2001-10-22,0,Monday,181.99999999999994,False,True,False,2001,129.00000000000023,True
2001-W44,2001-10-29,0,Monday,2001-11-04,6,Sunday,156.99999999999937,True,False,False,2001,-69.00000000000017,False
2001-W45,2001-11-06,1,Tuesday,2001-11-11,6,Sunday,134.0000000000008,True,False,False,2001,-34.999999999999474,False
2001-W46,2001-11-12,0,Monday,2001-11-18,6,Sunday,169.00000000000026,True,False,False,2001,-148.00000000000034,False
2001-W47,2001-11-19,0,Monday,2001-11-20,1,Tuesday,89.00000000000018,True,False,False,2001,13.999999999999568,True
2001-W48,2001-12-02,6,Sunday,2001-11-26,0,Monday,199.00000000000028,False,True,False,2001,110.99999999999999,True
2001-W49,2001-12-04,1,Tuesday,2001-12-09,6,Sunday,252.0,True,False,False,2001,-5.999999999999339,False
2001-W50,2001-12-16,6,Sunday,2001-12-10,0,Monday,264.0000000000009,False,True,False,2001,113.99999999999966,True
2001-W51,2001-12-18,1,Tuesday,2001-12-23,6,Sunday,379.9999999999992,True,False,False,2001,-251.0000000000001,False
2001-W52,2001-12-30,6,Sunday,2001-12-25,1,Tuesday,239.0000000000003,False,True,False,2001,111.99999999999987,True
2002-W01,2002-01-01,1,Tuesday,2002-01-06,6,Sunday,255.0000000000008,True,False,False,2002,25.000000000000576,True
2002-W02,2002-01-08,1,Tuesday,2002-01-08,1,Tuesday,175.9999999999995,False,False,True,2002,10.000000000000009,True
2002-W03,2002-01-14,0,Monday,2002-01-15,1,Tuesday,141.99999999999991,True,False,False,2002,-109.00000000000021,False
2002-W04,2002-01-22,1,Tuesday,2002-01-27,6,Sunday,314.9999999999997,True,False,False,2002,-212.99999999999986,False
2002-W05,2002-01-29,1,Tuesday,2002-01-28,0,Monday,116.00000000000054,False,True,False,2002,80.00000000000007,True
2002-W06,2002-02-04,0,Monday,2002-02-05,1,Tuesday,92.99999999999974,True,False,False,2002,-37.00000000000037,False
2002-W08,2002-02-18,0,Monday,2002-02-18,0,Monday,117.99999999999922,False,False,True,2002,-17.000000000000348,False
2002-W09,2002-02-25,0,Monday,2002-02-25,0,Monday,107.00000000000043,False,False,True,2002,7.000000000000339,True
2002-W10,2002-03-06,2,Wednesday,2002-03-04,0,Monday,128.00000000000034,False,True,False,2002,57.99999999999916,True
2002-W11,2002-03-17,6,Sunday,2002-03-11,0,Monday,123.99999999999966,False,True,False,2002,74.00000000000074,True
2002-W12,2002-03-20,2,Wednesday,2002-03-24,6,Sunday,105.99999999999943,True,False,False,2002,-53.9999999999996,False
2002-W13,2002-03-31,6,Sunday,2002-03-31,6,Sunday,109.00000000000021,False,False,True,2002,33.00000000000081,True
2002-W14,2002-04-02,1,Tuesday,2002-04-07,6,Sunday,93.99999999999964,True,False,False,2002,-60.00000000000006,False
2002-W15,2002-04-09,1,Tuesday,2002-04-08,0,Monday,89.00000000000018,False,True,False,2002,48.00000000000026,True
2002-W16,2002-04-17,2,Wednesday,2002-04-15,0,Monday,123.99999999999966,False,True,False,2002,90.99999999999997,True
2002-W17,2002-04-28,6,Sunday,2002-04-22,0,Monday,182.99999999999983,False,True,False,2002,144.0000000000008,True
2002-W18,2002-05-05,6,Sunday,2002-04-29,0,Monday,192.99999999999983,False,True,False,2002,144.99999999999957,True
2002-W19,2002-05-06,0,Monday,2002-05-07,1,Tuesday,151.00000000000003,True,False,False,2002,-70.00000000000006,False
2002-W20,2002-05-19,6,Sunday,2002-05-14,1,Tuesday,232.9999999999999,False,True,False,2002,95.00000000000064,True
2002-W21,2002-05-21,1,Tuesday,2002-05-20,0,Monday,114.99999999999955,False,True,False,2002,-10.999999999999899,False
2002-W22,2002-06-02,6,Sunday,2002-05-27,0,Monday,213.99999999999974,False,True,False,2002,209.9999999999991,True
2002-W23,2002-06-09,6,Sunday,2002-06-04,1,Tuesday,132.99999999999977,False,True,False,2002,26.00000000000047,True
2002-W24,2002-06-11,1,Tuesday,2002-06-10,0,Monday,100.99999999999997,False,True,False,2002,-2.9999999999996696,False
2002-W25,2002-06-23,6,Sunday,2002-06-17,0,Monday,380.00000000000034,False,True,False,2002,257.00000000000057,True
2002-W26,2002-06-30,6,Sunday,2002-06-24,0,Monday,312.00000000000006,False,True,False,2002,205.99999999999952,True
2002-W27,2002-07-01,0,Monday,2002-07-07,6,Sunday,174.9999999999996,True,False,False,2002,-14.999999999999458,False
2002-W28,2002-07-14,6,Sunday,2002-07-09,1,Tuesday,231.0000000000012,False,True,False,2002,124.00000000000078,True
2002-W29,2002-07-18,3,Thursday,2002-07-15,0,Monday,176.0000000000006,False,True,False,2002,53.999999999998494,True
2002-W30,2002-07-22,0,Monday,2002-07-28,6,Sunday,318.0000000000016,True,False,False,2002,-274.9999999999997,False
2002-W31,2002-08-01,3,Thursday,2002-07-31,2,Wednesday,192.99999999999983,False,True,False,2002,-9.000000000000119,False
2002-W32,2002-08-05,0,Monday,2002-08-05,0,Monday,185.9999999999995,False,False,True,2002,-8.00000000000023,False
2002-W33,2002-08-13,1,Tuesday,2002-08-14,2,Wednesday,146.00000000000057,True,False,False,2002,-29.000000000000135,False
2002-W34,2002-08-20,1,Tuesday,2002-08-22,3,Thursday,183.99999999999972,True,False,False,2002,-41.999999999999815,False
2002-W35,2002-08-28,2,Wednesday,2002-08-26,0,Monday,181.00000000000006,False,True,False,2002,123.99999999999966,True
2002-W36,2002-09-04,2,Wednesday,2002-09-08,6,Sunday,211.00000000000009,True,False,False,2002,-48.00000000000026,False
2002-W37,2002-09-12,3,Thursday,2002-09-15,6,Sunday,175.9999999999995,True,False,False,2002,-102.99999999999976,False
2002-W38,2002-09-19,3,Thursday,2002-09-16,0,Monday,272.0,False,True,False,2002,92.99999999999974,True
2002-W39,2002-09-29,6,Sunday,2002-09-25,2,Wednesday,168.00000000000037,False,True,False,2002,95.00000000000064,True
2002-W40,2002-10-02,2,Wednesday,2002-10-06,6,Sunday,130.0000000000001,True,False,False,2002,-40.99999999999993,False
2002-W41,2002-10-09,2,Wednesday,2002-10-07,0,Monday,163.99999999999972,False,True,False,2002,40.99999999999993,True
2002-W42,2002-10-14,0,Monday,2002-10-20,6,Sunday,199.00000000000028,True,False,False,2002,-137.00000000000045,False
2002-W43,2002-10-27,6,Sunday,2002-10-21,0,Monday,128.00000000000034,False,True,False,2002,111.99999999999987,True
2002-W44,2002-10-31,3,Thursday,2002-10-28,0,Monday,196.9999999999994,False,True,False,2002,135.99999999999946,True
2002-W45,2002-11-10,6,Sunday,2002-11-05,1,Tuesday,230.0000000000013,False,True,False,2002,125.99999999999945,True
2002-W46,2002-11-12,1,Tuesday,2002-11-14,3,Thursday,123.99999999999966,True,False,False,2002,-14.999999999998348,False
2002-W47,2002-11-18,0,Monday,2002-11-24,6,Sunday,248.99999999999923,True,False,False,2002,-171.00000000000114,False
2002-W48,2002-12-01,6,Sunday,2002-12-01,6,Sunday,120.00000000000011,False,False,True,2002,51.000000000001044,True
2002-W49,2002-12-05,3,Thursday,2002-12-02,0,Monday,174.9999999999996,False,True,False,2002,133.9999999999997,True
2002-W50,2002-12-12,3,Thursday,2002-12-10,1,Tuesday,199.00000000000028,False,True,False,2002,120.00000000000011,True
2002-W51,2002-12-16,0,Monday,2002-12-18,2,Wednesday,127.00000000000156,True,False,False,2002,37.00000000000037,True
2002-W52,2002-12-29,6,Sunday,2002-12-23,0,Monday,236.99999999999832,False,True,False,2002,223.99999999999974,True
2003-W01,2002-12-30,0,Monday,2003-01-01,2,Wednesday,165.9999999999995,True,False,False,2003,-23.999999999999577,False
