day,day_probability,hour,count,percentage,total_extremes
Monday,54.01350337584396,0,14,1.9444444444444444,720
Monday,54.01350337584396,1,20,2.7777777777777777,720
Monday,54.01350337584396,2,57,7.916666666666667,720
Monday,54.01350337584396,3,66,9.166666666666666,720
Monday,54.01350337584396,4,41,5.694444444444445,720
Monday,54.01350337584396,5,18,2.5,720
Monday,54.01350337584396,6,24,3.3333333333333335,720
Monday,54.01350337584396,7,24,3.3333333333333335,720
Monday,54.01350337584396,8,39,5.416666666666667,720
Monday,54.01350337584396,9,34,4.722222222222222,720
Monday,54.01350337584396,10,24,3.3333333333333335,720
Monday,54.01350337584396,11,30,4.166666666666667,720
Monday,54.01350337584396,12,15,2.0833333333333335,720
Monday,54.01350337584396,13,6,0.8333333333333334,720
Monday,54.01350337584396,14,5,0.6944444444444444,720
Monday,54.01350337584396,15,4,0.5555555555555556,720
Monday,54.01350337584396,16,4,0.5555555555555556,720
Monday,54.01350337584396,17,81,11.25,720
Monday,54.01350337584396,18,61,8.472222222222221,720
Monday,54.01350337584396,19,46,6.388888888888889,720
Monday,54.01350337584396,20,36,5.0,720
Monday,54.01350337584396,21,37,5.138888888888889,720
Monday,54.01350337584396,22,19,2.638888888888889,720
Monday,54.01350337584396,23,15,2.0833333333333335,720
Tuesday,27.606901725431356,0,6,1.6304347826086956,368
Tuesday,27.606901725431356,1,3,0.8152173913043478,368
Tuesday,27.606901725431356,2,31,8.423913043478262,368
Tuesday,27.606901725431356,3,40,10.869565217391305,368
Tuesday,27.606901725431356,4,17,4.619565217391305,368
Tuesday,27.606901725431356,5,22,5.978260869565218,368
Tuesday,27.606901725431356,6,19,5.163043478260869,368
Tuesday,27.606901725431356,7,25,6.793478260869565,368
Tuesday,27.606901725431356,8,31,8.423913043478262,368
Tuesday,27.606901725431356,9,28,7.608695652173913,368
Tuesday,27.606901725431356,10,36,9.782608695652174,368
Tuesday,27.606901725431356,11,15,4.076086956521739,368
Tuesday,27.606901725431356,12,18,4.891304347826087,368
Tuesday,27.606901725431356,13,15,4.076086956521739,368
Tuesday,27.606901725431356,14,10,2.717391304347826,368
Tuesday,27.606901725431356,15,3,0.8152173913043478,368
Tuesday,27.606901725431356,16,1,0.2717391304347826,368
Tuesday,27.606901725431356,17,3,0.8152173913043478,368
Tuesday,27.606901725431356,18,5,1.358695652173913,368
Tuesday,27.606901725431356,19,9,2.4456521739130435,368
Tuesday,27.606901725431356,20,10,2.717391304347826,368
Tuesday,27.606901725431356,21,10,2.717391304347826,368
Tuesday,27.606901725431356,22,5,1.358695652173913,368
Tuesday,27.606901725431356,23,6,1.6304347826086956,368
Wednesday,28.73218304576144,0,7,1.8276762402088773,383
Wednesday,28.73218304576144,1,11,2.8720626631853787,383
Wednesday,28.73218304576144,2,21,5.483028720626632,383
Wednesday,28.73218304576144,3,31,8.093994778067884,383
Wednesday,28.73218304576144,4,14,3.6553524804177546,383
Wednesday,28.73218304576144,5,11,2.8720626631853787,383
Wednesday,28.73218304576144,6,13,3.3942558746736293,383
Wednesday,28.73218304576144,7,14,3.6553524804177546,383
Wednesday,28.73218304576144,8,30,7.83289817232376,383
Wednesday,28.73218304576144,9,33,8.616187989556137,383
Wednesday,28.73218304576144,10,50,13.054830287206267,383
Wednesday,28.73218304576144,11,27,7.049608355091384,383
Wednesday,28.73218304576144,12,18,4.699738903394256,383
Wednesday,28.73218304576144,13,13,3.3942558746736293,383
Wednesday,28.73218304576144,14,30,7.83289817232376,383
Wednesday,28.73218304576144,15,6,1.566579634464752,383
Wednesday,28.73218304576144,16,6,1.566579634464752,383
Wednesday,28.73218304576144,17,2,0.5221932114882507,383
Wednesday,28.73218304576144,18,7,1.8276762402088773,383
Wednesday,28.73218304576144,19,11,2.8720626631853787,383
Wednesday,28.73218304576144,20,9,2.349869451697128,383
Wednesday,28.73218304576144,21,9,2.349869451697128,383
Wednesday,28.73218304576144,22,4,1.0443864229765014,383
Wednesday,28.73218304576144,23,6,1.566579634464752,383
Thursday,32.63315828957239,0,5,1.1494252873563218,435
Thursday,32.63315828957239,1,7,1.6091954022988506,435
Thursday,32.63315828957239,2,27,6.206896551724138,435
Thursday,32.63315828957239,3,28,6.436781609195402,435
Thursday,32.63315828957239,4,28,6.436781609195402,435
Thursday,32.63315828957239,5,23,5.287356321839081,435
Thursday,32.63315828957239,6,13,2.9885057471264367,435
Thursday,32.63315828957239,7,28,6.436781609195402,435
Thursday,32.63315828957239,8,60,13.793103448275861,435
Thursday,32.63315828957239,9,35,8.045977011494253,435
Thursday,32.63315828957239,10,37,8.505747126436782,435
Thursday,32.63315828957239,11,29,6.666666666666667,435
Thursday,32.63315828957239,12,26,5.977011494252873,435
Thursday,32.63315828957239,13,12,2.7586206896551726,435
Thursday,32.63315828957239,14,17,3.9080459770114944,435
Thursday,32.63315828957239,15,7,1.6091954022988506,435
Thursday,32.63315828957239,16,6,1.3793103448275863,435
Thursday,32.63315828957239,17,3,0.6896551724137931,435
Thursday,32.63315828957239,18,5,1.1494252873563218,435
Thursday,32.63315828957239,19,7,1.6091954022988506,435
Thursday,32.63315828957239,20,6,1.3793103448275863,435
Thursday,32.63315828957239,21,13,2.9885057471264367,435
Thursday,32.63315828957239,22,5,1.1494252873563218,435
Thursday,32.63315828957239,23,8,1.839080459770115,435
Friday,56.78919729932483,0,5,0.6605019815059445,757
Friday,56.78919729932483,1,11,1.453104359313078,757
Friday,56.78919729932483,2,24,3.1704095112285335,757
Friday,56.78919729932483,3,28,3.6988110964332894,757
Friday,56.78919729932483,4,30,3.963011889035667,757
Friday,56.78919729932483,5,28,3.6988110964332894,757
Friday,56.78919729932483,6,24,3.1704095112285335,757
Friday,56.78919729932483,7,21,2.774108322324967,757
Friday,56.78919729932483,8,96,12.681638044914134,757
Friday,56.78919729932483,9,65,8.58652575957728,757
Friday,56.78919729932483,10,82,10.83223249669749,757
Friday,56.78919729932483,11,63,8.3223249669749,757
Friday,56.78919729932483,12,50,6.605019815059445,757
Friday,56.78919729932483,13,39,5.1519154557463676,757
Friday,56.78919729932483,14,44,5.812417437252312,757
Friday,56.78919729932483,15,30,3.963011889035667,757
Friday,56.78919729932483,16,65,8.58652575957728,757
Friday,56.78919729932483,17,9,1.1889035667107002,757
Friday,56.78919729932483,18,5,0.6605019815059445,757
Friday,56.78919729932483,19,6,0.7926023778071334,757
Friday,56.78919729932483,20,8,1.0568031704095113,757
Friday,56.78919729932483,21,12,1.5852047556142668,757
Friday,56.78919729932483,22,7,0.9247027741083224,757
Friday,56.78919729932483,23,5,0.6605019815059445,757
