week_key,lotw_hour,hotw_day,hotw_hour,lotw_price,hotw_price,range,is_lotw_monday,monday_lowest_hour,lotw_day,is_hotw_monday,monday_highest_hour
2000-W23,9,Thursday,8,0.9416,0.9704,288.00000000000045,True,9.0,,,
2000-W24,20,Friday,11,0.9494,0.9661,166.99999999999937,True,20.0,,,
2000-W25,12,,3,0.9342,0.9694,352.0000000000001,,,Friday,True,3.0
2000-W26,4,Friday,10,0.9299,0.9604,305.00000000000085,True,4.0,,,
2000-W29,13,,4,0.9193,0.9402,209.00000000000028,,,Wednesday,True,4.0
2000-W31,8,,12,0.8997,0.9295,297.9999999999994,,,Thursday,True,12.0
2000-W33,11,Friday,3,0.9007,0.9184,177.00000000000048,True,11.0,,,
2000-W34,2,,1,0.8912,0.9079,167.00000000000048,,,Wednesday,True,1.0
2000-W35,12,,23,0.8841,0.9045,203.99999999999974,,,Thursday,True,23.0
2000-W36,4,,2,0.8639,0.904,401.0000000000002,,,Thursday,True,2.0
2000-W37,16,,0,0.8527,0.8726,199.00000000000028,,,Friday,True,0.0
2000-W39,12,Wednesday,6,0.8713,0.8886,172.99999999999983,True,12.0,,,
2000-W40,20,,3,0.8672,0.8861,189.00000000000028,,,Friday,True,3.0
2000-W45,6,,2,0.8521,0.8734,212.99999999999986,,,Thursday,True,2.0
2000-W46,15,,2,0.8475,0.8667,191.99999999999994,,,Friday,True,2.0
2000-W48,7,Friday,16,0.839,0.8795,404.99999999999983,True,7.0,,,
2000-W49,2,Thursday,5,0.8759,0.8976,216.9999999999994,True,2.0,,,
2001-W01,20,Friday,2,0.883,0.9599,768.9999999999997,True,20.0,,,
2001-W02,15,,2,0.9365,0.9595,230.0000000000002,,,Wednesday,True,2.0
2001-W06,4,,8,0.9135,0.9439,303.99999999999983,,,Friday,True,8.0
2001-W09,8,Friday,6,0.9083,0.9383,300.0000000000003,True,8.0,,,
2001-W11,11,,2,0.8915,0.9342,427.00000000000074,,,Friday,True,2.0
2001-W14,2,Thursday,2,0.8745,0.9091,345.99999999999966,True,2.0,,,
2001-W15,9,,4,0.8814,0.9051,237.00000000000054,,,Wednesday,True,4.0
2001-W17,12,,22,0.8891,0.9083,191.99999999999994,,,Friday,True,22.0
2001-W18,12,Friday,8,0.8854,0.901,156.00000000000057,True,12.0,,,
2001-W19,11,,19,0.8738,0.8937,199.00000000000028,,,Friday,True,19.0
2001-W20,10,Thursday,3,0.8728,0.8883,154.99999999999957,True,10.0,,,
2001-W21,21,,21,0.8497,0.8819,322.00000000000006,,,Thursday,True,21.0
2001-W24,10,Friday,7,0.8414,0.8676,262.0,True,10.0,,,
2001-W25,8,,1,0.8497,0.8644,146.99999999999935,,,Wednesday,True,1.0
2001-W27,21,,19,0.8353,0.8508,154.99999999999957,,,Friday,True,19.0
2001-W28,5,Wednesday,9,0.8449,0.8645,196.00000000000063,True,5.0,,,
2001-W30,9,Thursday,2,0.8657,0.8826,169.00000000000026,True,9.0,,,
2001-W31,4,Friday,11,0.8726,0.8875,148.99999999999915,True,4.0,,,
2001-W33,21,Thursday,3,0.8925,0.9203,278.00000000000045,True,21.0,,,
2001-W36,3,,2,0.8828,0.9104,275.9999999999996,,,Thursday,True,2.0
2001-W38,11,,4,0.909,0.9336,245.99999999999955,,,Friday,True,4.0
2001-W40,20,Wednesday,3,0.9065,0.9235,170.00000000000014,True,20.0,,,
2001-W41,16,,3,0.9104,0.9244,140.0000000000001,,,Wednesday,True,3.0
2001-W42,20,,21,0.8996,0.914,144.0000000000008,,,Thursday,True,21.0
2001-W43,6,,2,0.8872,0.9005,132.99999999999977,,,Tuesday,True,2.0
2001-W44,19,Tuesday,10,0.8924,0.9104,180.00000000000017,True,19.0,,,
2001-W46,8,,9,0.8775,0.9019,244.00000000000088,,,Wednesday,True,9.0
2001-W47,10,,19,0.8757,0.8855,97.9999999999992,,,Wednesday,True,19.0
2001-W50,8,Wednesday,22,0.8845,0.9068,223.00000000000097,True,8.0,,,
2001-W51,6,,4,0.8955,0.915,195.00000000000074,,,Wednesday,True,4.0
2001-W52,9,Monday,3,0.8745,0.8912,166.99999999999937,True,9.0,,,
2001-W52,9,,3,0.8745,0.8912,166.99999999999937,,,Monday,True,3.0
2002-W03,3,,2,0.8807,0.8956,148.99999999999915,,,Wednesday,True,2.0
2002-W05,8,Monday,19,0.8577,0.8744,166.99999999999937,True,8.0,,,
2002-W05,8,,19,0.8577,0.8744,166.99999999999937,,,Monday,True,19.0
2002-W06,2,Tuesday,9,0.8608,0.8728,120.00000000000011,True,2.0,,,
2002-W09,12,,19,0.8618,0.8758,140.0000000000001,,,Tuesday,True,19.0
2002-W10,5,Thursday,23,0.8635,0.878,144.99999999999957,True,5.0,,,
2002-W12,8,Thursday,18,0.8785,0.8862,77.0000000000004,True,8.0,,,
2002-W14,19,Wednesday,10,0.8714,0.8832,118.00000000000033,True,19.0,,,
2002-W15,14,Wednesday,22,0.8738,0.8827,89.00000000000018,True,14.0,,,
2002-W16,9,Thursday,21,0.8791,0.8916,124.99999999999956,True,9.0,,,
2002-W20,23,,3,0.8998,0.9168,169.99999999999903,,,Wednesday,True,3.0
2002-W22,8,Wednesday,14,0.9186,0.937,184.00000000000082,True,8.0,,,
2002-W23,7,Tuesday,6,0.9306,0.9454,148.00000000000034,True,7.0,,,
2002-W24,22,Wednesday,3,0.9392,0.9508,115.99999999999943,True,22.0,,,
2002-W25,9,Thursday,20,0.9414,0.9586,171.99999999999994,True,9.0,,,
2002-W27,22,,2,0.9753,0.9975,222.00000000000108,,,Thursday,True,2.0
2002-W28,19,Wednesday,2,0.9745,0.9971,225.99999999999955,True,19.0,,,
2002-W29,19,Friday,22,0.9926,1.0204,277.9999999999994,True,19.0,,,
2002-W30,14,,2,0.9847,1.0129,281.9999999999989,,,Tuesday,True,2.0
2002-W32,12,,10,0.9624,0.9879,254.99999999999966,,,Tuesday,True,10.0
