week_key,high_day_name,high_dow,low_day_name,low_dow,weekly_range,weekly_return,high_first,low_first,same_day,distance,bullish
2000-W22,Friday,4,Wednesday,2,346.99999999999955,137.99999999999923,False,True,False,2,True
2000-W23,Thursday,3,Monday,0,288.00000000000045,61.99999999999983,False,True,False,3,True
2000-W24,Friday,4,Monday,0,166.99999999999937,113.99999999999966,False,True,False,4,True
2000-W25,Monday,0,Friday,4,352.0000000000001,-280.0000000000002,True,False,False,4,False
2000-W26,Friday,4,Monday,0,305.00000000000085,175.9999999999995,False,True,False,4,True
2000-W27,Thursday,3,Friday,4,139.00000000000023,-50.00000000000004,True,False,False,1,False
2000-W28,Tuesday,1,Friday,4,251.0000000000001,-106.00000000000054,True,False,False,3,False
2000-W29,Monday,0,Wednesday,2,209.00000000000028,-19.000000000000128,True,False,False,2,False
2000-W30,Wednesday,2,Friday,4,220.99999999999898,-124.99999999999956,True,False,False,2,False
2000-W31,Monday,0,Thursday,3,297.9999999999994,-159.00000000000026,True,False,False,3,False
2000-W32,Friday,4,Wednesday,2,180.00000000000017,-41.999999999999815,False,True,False,2,False
2000-W33,Friday,4,Monday,0,177.00000000000048,30.00000000000003,False,True,False,4,True
2000-W34,Monday,0,Wednesday,2,167.00000000000048,-52.999999999999716,True,False,False,2,False
2000-W35,Monday,0,Thursday,3,203.99999999999974,-42.9999999999997,True,False,False,3,False
2000-W36,Monday,0,Thursday,3,401.0000000000002,-312.99999999999994,True,False,False,3,False
2000-W37,Monday,0,Friday,4,199.00000000000028,-112.99999999999977,True,False,False,4,False
2000-W38,Friday,4,Wednesday,2,506.99999999999966,236.99999999999943,False,True,False,2,True
2000-W39,Wednesday,2,Monday,0,172.99999999999983,25.999999999999357,False,True,False,2,True
2000-W40,Monday,0,Friday,4,189.00000000000028,-165.9999999999995,True,False,False,4,False
2000-W41,Wednesday,2,Friday,4,233.99999999999977,-150.00000000000014,True,False,False,2,False
2000-W42,Wednesday,2,Wednesday,2,252.0,-125.00000000000067,False,False,True,0,False
2000-W43,Friday,4,Thursday,3,217.0000000000005,-10.999999999999899,False,True,False,1,False
2000-W44,Friday,4,Tuesday,1,382.0000000000001,272.9999999999999,False,True,False,3,True
2000-W45,Monday,0,Thursday,3,212.99999999999986,-70.00000000000006,True,False,False,3,False
2000-W46,Monday,0,Friday,4,191.99999999999994,-143.0000000000009,True,False,False,4,False
2000-W47,Tuesday,1,Friday,4,159.00000000000026,-95.00000000000064,True,False,False,3,False
2000-W48,Friday,4,Monday,0,404.99999999999983,393.9999999999999,False,True,False,4,True
2000-W49,Thursday,3,Monday,0,216.9999999999994,91.99999999999986,False,True,False,3,True
2000-W50,Friday,4,Wednesday,2,282.0,125.99999999999945,False,True,False,2,True
2000-W51,Friday,4,Tuesday,1,377.0000000000007,279.00000000000034,False,True,False,3,True
2000-W52,Friday,4,Thursday,3,141.99999999999991,77.0000000000004,False,True,False,1,True
2001-W01,Friday,4,Monday,0,768.9999999999997,-558.9999999999995,False,True,False,4,False
2001-W02,Monday,0,Wednesday,2,230.0000000000002,-188.0000000000004,True,False,False,2,False
2001-W04,Tuesday,1,Thursday,3,334.00000000000097,-116.00000000000054,True,False,False,2,False
2001-W05,Thursday,3,Tuesday,1,300.0000000000003,123.99999999999966,False,True,False,2,True
2001-W06,Monday,0,Friday,4,303.99999999999983,-125.99999999999945,True,False,False,4,False
2001-W07,Tuesday,1,Thursday,3,302.99999999999994,-83.00000000000085,True,False,False,2,False
2001-W08,Tuesday,1,Thursday,3,223.99999999999974,46.00000000000048,True,False,False,2,True
2001-W09,Friday,4,Monday,0,300.0000000000003,174.9999999999996,False,True,False,4,True
2001-W10,Friday,4,Tuesday,1,121.99999999999989,-26.00000000000047,False,True,False,3,False
2001-W11,Monday,0,Friday,4,427.00000000000074,-348.0000000000005,True,False,False,4,False
2001-W12,Wednesday,2,Thursday,3,299.0000000000004,-72.99999999999973,True,False,False,1,False
2001-W13,Tuesday,1,Friday,4,235.99999999999955,-96.00000000000053,True,False,False,3,False
2001-W14,Thursday,3,Monday,0,345.99999999999966,283.99999999999983,False,True,False,3,True
2001-W15,Monday,0,Wednesday,2,237.00000000000054,-145.00000000000068,True,False,False,2,False
2001-W16,Friday,4,Wednesday,2,330.0000000000003,172.99999999999983,False,True,False,2,True
2001-W17,Monday,0,Friday,4,191.99999999999994,-119.00000000000021,True,False,False,4,False
2001-W18,Friday,4,Monday,0,156.00000000000057,20.000000000000018,False,True,False,4,True
2001-W19,Monday,0,Friday,4,199.00000000000028,-160.00000000000014,True,False,False,4,False
2001-W20,Thursday,3,Monday,0,154.99999999999957,51.000000000001044,False,True,False,3,True
2001-W21,Monday,0,Thursday,3,322.00000000000006,-221.99999999999997,True,False,False,3,False
2001-W22,Tuesday,1,Friday,4,180.00000000000017,-121.99999999999989,True,False,False,3,False
2001-W23,Wednesday,2,Tuesday,1,142.9999999999998,35.00000000000058,False,True,False,1,True
2001-W24,Friday,4,Monday,0,262.0,113.99999999999966,False,True,False,4,True
2001-W25,Monday,0,Wednesday,2,146.99999999999935,-58.999999999999055,True,False,False,2,False
2001-W26,Wednesday,2,Thursday,3,227.99999999999932,-73.99999999999962,True,False,False,1,False
2001-W27,Monday,0,Friday,4,154.99999999999957,-18.000000000000238,True,False,False,4,False
2001-W28,Wednesday,2,Monday,0,196.00000000000063,77.0000000000004,False,True,False,2,True
2001-W29,Friday,4,Tuesday,1,293.99999999999983,171.99999999999994,False,True,False,3,True
2001-W30,Thursday,3,Monday,0,169.00000000000026,65.99999999999939,False,True,False,3,True
2001-W31,Friday,4,Monday,0,148.99999999999915,83.00000000000085,False,True,False,4,True
2001-W32,Friday,4,Wednesday,2,217.0000000000005,103.99999999999964,False,True,False,2,True
2001-W33,Thursday,3,Monday,0,278.00000000000045,235.00000000000077,False,True,False,3,True
2001-W34,Wednesday,2,Friday,4,163.99999999999972,-42.9999999999997,True,False,False,2,False
2001-W35,Friday,4,Tuesday,1,169.00000000000026,-43.00000000000082,False,True,False,3,False
2001-W36,Monday,0,Thursday,3,275.9999999999996,-22.999999999999687,True,False,False,3,False
2001-W37,Friday,4,Tuesday,1,296.9999999999995,151.00000000000003,False,True,False,3,True
2001-W38,Monday,0,Friday,4,245.99999999999955,-97.9999999999992,True,False,False,4,False
2001-W39,Tuesday,1,Friday,4,167.00000000000048,-40.000000000000036,True,False,False,3,False
2001-W40,Wednesday,2,Monday,0,170.00000000000014,43.999999999999595,False,True,False,2,True
2001-W41,Monday,0,Wednesday,2,140.0000000000001,-70.00000000000006,True,False,False,2,False
2001-W42,Monday,0,Thursday,3,144.0000000000008,-83.99999999999963,True,False,False,3,False
2001-W43,Monday,0,Tuesday,1,132.99999999999977,-50.00000000000004,True,False,False,1,False
2001-W44,Tuesday,1,Monday,0,180.00000000000017,79.00000000000018,False,True,False,1,True
2001-W45,Wednesday,2,Wednesday,2,109.00000000000021,-43.999999999999595,False,False,True,0,False
2001-W46,Monday,0,Wednesday,2,244.00000000000088,-118.9999999999991,True,False,False,2,False
2001-W47,Monday,0,Wednesday,2,97.9999999999992,-67.99999999999918,True,False,False,2,False
2001-W48,Wednesday,2,Tuesday,1,117.00000000000044,87.00000000000041,False,True,False,1,True
2001-W49,Wednesday,2,Wednesday,2,248.99999999999923,-82.99999999999974,False,False,True,0,False
2001-W50,Wednesday,2,Monday,0,223.00000000000097,76.00000000000051,False,True,False,2,True
2001-W51,Monday,0,Wednesday,2,195.00000000000074,-51.99999999999982,True,False,False,2,False
2001-W52,Monday,0,Monday,0,166.99999999999937,-94.00000000000075,False,False,True,0,False
2002-W01,Tuesday,1,Wednesday,2,1591.0000000000002,1590.0000000000002,True,False,False,1,True
2002-W02,Wednesday,2,Wednesday,2,175.9999999999995,-45.999999999999375,False,False,True,0,False
2002-W03,Monday,0,Wednesday,2,148.99999999999915,-124.00000000000078,True,False,False,2,False
2002-W04,Wednesday,2,Wednesday,2,121.0,-86.9999999999993,False,False,True,0,False
2002-W05,Monday,0,Monday,0,166.99999999999937,-29.000000000000135,False,False,True,0,False
2002-W06,Tuesday,1,Monday,0,120.00000000000011,46.00000000000048,False,True,False,1,True
2002-W08,Tuesday,1,Tuesday,1,117.99999999999922,23.000000000000796,False,False,True,0,True
2002-W09,Monday,0,Tuesday,1,140.0000000000001,-115.00000000000065,True,False,False,1,False
2002-W10,Thursday,3,Monday,0,144.99999999999957,127.00000000000044,False,True,False,3,True
2002-W11,Wednesday,2,Tuesday,1,77.99999999999918,30.00000000000003,False,True,False,1,True
2002-W12,Thursday,3,Monday,0,77.0000000000004,36.999999999999254,False,True,False,3,True
2002-W13,Tuesday,1,Wednesday,2,78.00000000000028,-33.99999999999959,True,False,False,1,False
2002-W14,Wednesday,2,Monday,0,118.00000000000033,97.00000000000043,False,True,False,2,True
2002-W15,Wednesday,2,Monday,0,89.00000000000018,5.0000000000005596,False,True,False,2,True
2002-W16,Thursday,3,Monday,0,124.99999999999956,111.99999999999987,False,True,False,3,True
2002-W17,Wednesday,2,Tuesday,1,70.99999999999996,20.000000000000018,False,True,False,1,True
2002-W18,Wednesday,2,Tuesday,1,94.00000000000075,55.000000000000604,False,True,False,1,True
2002-W19,Tuesday,1,Wednesday,2,151.00000000000003,-114.99999999999955,True,False,False,1,False
2002-W20,Monday,0,Wednesday,2,169.99999999999903,-6.999999999999229,True,False,False,2,False
2002-W21,Wednesday,2,Tuesday,1,114.99999999999955,36.999999999999254,False,True,False,1,True
2002-W22,Wednesday,2,Monday,0,184.00000000000082,155.99999999999946,False,True,False,2,True
2002-W23,Tuesday,1,Monday,0,148.00000000000034,57.000000000000384,False,True,False,1,True
2002-W24,Wednesday,2,Monday,0,115.99999999999943,-0.9999999999998899,False,True,False,2,False
2002-W25,Thursday,3,Monday,0,171.99999999999994,121.99999999999989,False,True,False,3,True
2002-W26,Wednesday,2,Tuesday,1,282.99999999999994,152.9999999999998,False,True,False,1,True
2002-W27,Monday,0,Thursday,3,222.00000000000108,-168.99999999999915,True,False,False,3,False
2002-W28,Wednesday,2,Monday,0,225.99999999999955,133.9999999999997,False,True,False,2,True
2002-W29,Friday,4,Monday,0,277.9999999999994,189.00000000000028,False,True,False,4,True
2002-W30,Monday,0,Tuesday,1,281.9999999999989,-121.0,True,False,False,1,False
2002-W31,Friday,4,Thursday,3,192.99999999999983,-3.9999999999995595,False,True,False,1,False
2002-W32,Monday,0,Tuesday,1,254.99999999999966,-161.00000000000003,True,False,False,1,False
2002-W33,Wednesday,2,Monday,0,198.0000000000004,151.99999999999991,False,True,False,2,True
2002-W34,Monday,0,Friday,4,208.0000000000004,-118.00000000000033,True,False,False,4,False
2002-W35,Thursday,3,Monday,0,199.00000000000028,88.0000000000003,False,True,False,3,True
2002-W36,Thursday,3,Monday,0,191.99999999999994,5.999999999999339,False,True,False,3,True
2002-W37,Friday,4,Wednesday,2,136.99999999999935,-105.00000000000065,False,True,False,2,False
2002-W38,Friday,4,Tuesday,1,272.0,100.00000000000009,False,True,False,3,True
2002-W39,Monday,0,Thursday,3,128.00000000000034,1.9999999999997797,True,False,False,3,True
2002-W40,Thursday,3,Friday,4,128.00000000000034,-22.00000000000091,True,False,False,1,False
2002-W41,Thursday,3,Tuesday,1,163.99999999999972,80.99999999999996,False,True,False,2,True
2002-W42,Monday,0,Thursday,3,192.99999999999983,-158.00000000000037,True,False,False,3,False
2002-W43,Tuesday,1,Monday,0,113.99999999999966,46.00000000000048,False,True,False,1,True
2002-W44,Friday,4,Monday,0,277.9999999999994,201.99999999999994,False,True,False,4,True
2002-W45,Friday,4,Monday,0,212.99999999999875,161.00000000000114,False,True,False,4,True
2002-W46,Monday,0,Friday,4,157.00000000000048,-30.999999999998806,True,False,False,4,False
2002-W47,Tuesday,1,Friday,4,181.00000000000006,-128.00000000000034,True,False,False,3,False
2002-W48,Monday,0,Wednesday,2,91.99999999999986,-11.999999999999789,True,False,False,2,False
2002-W49,Friday,4,Monday,0,265.99999999999955,151.99999999999991,False,True,False,4,True
2002-W50,Friday,4,Wednesday,2,199.00000000000028,136.00000000000057,False,True,False,2,True
2002-W51,Tuesday,1,Monday,0,141.0,31.999999999998696,False,True,False,1,True
2002-W52,Friday,4,Monday,0,225.99999999999955,161.00000000000003,False,True,False,4,True
2003-W01,Wednesday,2,Thursday,3,2309.9999999999986,2080.9999999999995,True,False,False,1,True
2003-W02,Friday,4,Wednesday,2,222.99999999999986,150.99999999999892,False,True,False,2,True
2003-W03,Friday,4,Wednesday,2,174.00000000000082,89.99999999999898,False,True,False,2,True
2003-W04,Friday,4,Tuesday,1,216.00000000000063,162.9999999999998,False,True,False,3,True
2003-W05,Monday,0,Friday,4,184.9999999999996,-62.00000000000205,True,False,False,4,False
2003-W06,Wednesday,2,Monday,0,245.00000000000188,30.000000000001137,False,True,False,2,True
2003-W07,Thursday,3,Tuesday,1,194.00000000000085,-29.000000000001247,False,True,False,2,False
2003-W08,Friday,4,Wednesday,2,182.99999999999983,5.999999999999339,False,True,False,2,True
2003-W09,Thursday,3,Monday,0,128.00000000000145,60.99999999999994,False,True,False,3,True
2003-W10,Friday,4,Monday,0,300.0000000000003,231.99999999999886,False,True,False,4,True
2003-W11,Tuesday,1,Friday,4,394.000000000001,-266.99999999999943,True,False,False,3,False
2003-W12,Monday,0,Friday,4,340.0000000000003,-257.00000000000057,True,False,False,4,False
2003-W13,Friday,4,Monday,0,235.00000000000077,189.99999999999906,False,True,False,4,True
2003-W14,Wednesday,2,Friday,4,276.0000000000007,-67.0000000000015,True,False,False,2,False
2003-W15,Thursday,3,Monday,0,268.99999999999926,60.99999999999994,False,True,False,3,True
2003-W16,Thursday,3,Monday,0,260.0000000000002,139.00000000000023,False,True,False,3,True
2003-W17,Friday,4,Monday,0,228.9999999999992,138.00000000000034,False,True,False,4,True
2003-W18,Thursday,3,Tuesday,1,351.0000000000013,188.99999999999918,False,True,False,2,True
2003-W19,Friday,4,Monday,0,333.99999999999875,257.00000000000057,False,True,False,4,True
2003-W20,Monday,0,Friday,4,253.000000000001,60.00000000000006,True,False,False,4,True
2003-W21,Friday,4,Tuesday,1,212.99999999999875,121.99999999999989,False,True,False,3,True
2003-W22,Tuesday,1,Thursday,3,243.99999999999977,-59.00000000000016,True,False,False,2,False
2003-W23,Thursday,3,Thursday,3,258.00000000000045,-9.999999999998899,False,False,True,0,False
2003-W24,Friday,4,Monday,0,221.00000000000009,156.99999999999824,False,True,False,4,True
2003-W25,Monday,0,Friday,4,379.00000000000045,-279.00000000000034,True,False,False,4,False
2003-W26,Wednesday,2,Friday,4,225.00000000000188,-151.00000000000114,True,False,False,2,False
2003-W27,Tuesday,1,Monday,0,208.99999999999918,44.00000000000182,False,True,False,1,True
2003-W28,Monday,0,Tuesday,1,230.0000000000013,-188.0000000000015,True,False,False,1,False
2003-W29,Tuesday,1,Wednesday,2,223.99999999999974,-24.999999999999467,True,False,False,1,False
2003-W30,Friday,4,Monday,0,306.9999999999995,242.9999999999999,False,True,False,4,True
2003-W31,Tuesday,1,Friday,4,403.9999999999999,-207.9999999999993,True,False,False,3,False
2003-W32,Wednesday,2,Monday,0,164.9999999999996,19.000000000000128,False,True,False,2,True
2003-W34,Monday,0,Friday,4,433.9999999999988,-375.0000000000009,True,False,False,4,False
2003-W35,Friday,4,Tuesday,1,206.00000000000173,128.99999999999912,False,True,False,3,True
2003-W36,Friday,4,Wednesday,2,349.9999999999992,106.99999999999932,False,True,False,2,True
2003-W37,Friday,4,Monday,0,276.0000000000007,181.99999999999994,False,True,False,4,True
2003-W38,Friday,4,Wednesday,2,242.9999999999999,92.00000000000097,False,True,False,2,True
2003-W39,Thursday,3,Monday,0,122.99999999999977,37.00000000000037,False,True,False,3,True
2003-W40,Thursday,3,Monday,0,375.0000000000009,111.99999999999876,False,True,False,3,True
2003-W41,Thursday,3,Monday,0,323.99999999999983,230.99999999999898,False,True,False,3,True
2003-W42,Monday,0,Friday,4,276.99999999999835,-140.0000000000001,True,False,False,4,False
2003-W43,Friday,4,Monday,0,252.99999999999878,70.00000000000117,False,True,False,4,True
2003-W44,Monday,0,Friday,4,186.99999999999937,-158.00000000000037,True,False,False,4,False
2003-W45,Monday,0,Friday,4,242.0,-63.999999999999616,True,False,False,4,False
2003-W46,Friday,4,Tuesday,1,359.00000000000045,258.00000000000045,False,True,False,3,True
2003-W47,Wednesday,2,Monday,0,251.9999999999989,117.00000000000044,False,True,False,2,True
2003-W48,Friday,4,Tuesday,1,263.9999999999998,74.00000000000074,False,True,False,3,True
2003-W49,Friday,4,Monday,0,239.0000000000003,184.9999999999996,False,True,False,4,True
2003-W50,Friday,4,Thursday,3,190.99999999999895,109.00000000000132,False,True,False,1,True
2003-W51,Thursday,3,Monday,0,302.00000000000006,213.00000000000097,False,True,False,3,True
2003-W52,Wednesday,2,Monday,0,120.00000000000011,14.000000000000679,False,True,False,2,True
2004-W02,Friday,4,Thursday,3,306.9999999999995,240.00000000000023,False,True,False,1,True
2004-W03,Monday,0,Friday,4,546.9999999999997,-481.00000000000034,True,False,False,4,False
2004-W04,Friday,4,Monday,0,443.00000000000006,206.9999999999994,False,True,False,4,True
